"","part_id","task","domain","type","modality","mean_rt","upper_bound","lower_bound","rt_slope"
"1","blast_a_001","tsl","auditory","random","non-linguistic",0.488,0.00846702573472,0.813650987081,0.0146
"2","blast_a_002","tsl","auditory","random","non-linguistic",0.527,0.0671290897935,0.938681231874,-1e-04
"3","blast_a_004","tsl","auditory","random","non-linguistic",0.547,0.092049753961,0.871928427872,0.0033
"4","blast_a_005","tsl","auditory","random","non-linguistic",0.472,0.0671565986886,0.830373381902,-0.0021
"5","blast_a_006","tsl","auditory","random","non-linguistic",0.494,0.000389642489608,0.930360203746,0.0038
"6","blast_a_007","tsl","auditory","random","non-linguistic",0.553,0.0753648227965,0.905326597596,6e-04
"7","blast_a_008","tsl","auditory","random","non-linguistic",0.674,0.0420764618993,0.9221169453,-0.0112
"8","blast_a_010","tsl","auditory","random","non-linguistic",0.576,0.100367223195,0.888696751816,0.0025
"9","blast_a_011","tsl","auditory","random","non-linguistic",0.622,0.175441866729,0.855418792105,0.0021
"10","blast_a_012","tsl","auditory","random","non-linguistic",0.537,0.000470523508739,0.860132083257,0.0134
"11","blast_a_021","tsl","auditory","random","non-linguistic",0.49,0.000404014543165,0.880299972564,-0.0019
"12","blast_a_013","tsl","auditory","random","non-linguistic",0.369,0.142016853657,0.680280346675,5e-04
"13","blast_a_017","tsl","auditory","random","non-linguistic",0.502,0.0419562445986,0.847074029443,-2e-04
"14","blast_a_018","tsl","auditory","random","non-linguistic",0.522,0.00869852622782,0.938656133949,0.0024
"15","blast_a_020","tsl","auditory","random","non-linguistic",0.618,0.0254200683539,0.913521955561,-4e-04
"16","blast_a_022","tsl","auditory","random","non-linguistic",0.325,0.00642204284668,0.720525960922,-0.0013
"17","blast_a_023","tsl","auditory","random","non-linguistic",0.451,0.050295906578,0.840181986446,-0.0077
"18","blast_a_025","tsl","auditory","random","non-linguistic",0.419,0.0403210575241,0.860168387273,0.0144
"19","blast_a_001","ssl","auditory","random","linguistic",0.726,0.350298041605,0.922153487116,-0.0018
"20","blast_a_002","ssl","auditory","random","linguistic",0.626,0.100508462885,0.922154545783,-0.0026
"21","blast_a_004","ssl","auditory","random","linguistic",0.685,0.0753100384509,0.921990733233,0.0011
"22","blast_a_005","ssl","auditory","random","linguistic",0.669,0.175383564299,0.863635328977,-2e-04
"23","blast_a_006","ssl","auditory","random","linguistic",0.644,0.0752642301632,0.888677900743,-0.0015
"24","blast_a_007","ssl","auditory","random","linguistic",0.656,0.158527422373,0.905271990166,0.0015
"25","blast_a_008","ssl","auditory","random","linguistic",0.642,0.125362646711,0.88857197054,-6e-04
"26","blast_a_010","ssl","auditory","random","linguistic",0.706,0.150289295017,0.922041636146,0.0038
"27","blast_a_011","ssl","auditory","random","linguistic",0.713,0.200288145392,0.930424047536,0.0041
"28","blast_a_012","ssl","auditory","random","linguistic",0.738,0.270272644971,0.940188825272,0.0013
"29","blast_a_013","ssl","auditory","random","linguistic",0.713,0.142034508754,0.930329206142,0.0027
"30","blast_a_017","ssl","auditory","random","linguistic",0.796,0.5387920355892,0.938847463751,1e-04
"31","blast_a_018","ssl","auditory","random","linguistic",0.68,0.158625956396,0.946776564972,6e-04
"32","blast_a_020","ssl","auditory","random","linguistic",0.632,0.208631622512,0.855313480783,0.0027
"33","blast_a_021","ssl","auditory","random","linguistic",0.639,0.125423517282,0.87200084089,-0.0017
"34","blast_a_022","ssl","auditory","random","linguistic",0.519,0.0568859577179,0.93521402359,-2e-04
"35","blast_a_023","ssl","auditory","random","linguistic",0.722,0.190272404854,0.930188580396,-4e-04
"36","blast_a_025","ssl","auditory","random","linguistic",0.731,0.300209067588,0.940055034209,-0.0087
"37","blast_a_001","tsl","auditory","structured","non-linguistic",0.669,0.0337100287979,0.905373403965,-0.0064
"38","blast_a_002","tsl","auditory","structured","non-linguistic",0.535,0.350333145014,0.722061426126,8e-04
"39","blast_a_004","tsl","auditory","structured","non-linguistic",0.541,0.0420059246553,0.905336007571,-5e-04
"40","blast_a_005","tsl","auditory","structured","non-linguistic",0.577,0.142015687463,0.930319349507,0.0083
"41","blast_a_006","tsl","auditory","structured","non-linguistic",0.475,0.0251654030308,0.880387835929,-0.0016
"42","blast_a_007","tsl","auditory","structured","non-linguistic",0.584,0.458695843184,0.822033843468,6e-04
"43","blast_a_008","tsl","auditory","structured","non-linguistic",0.672,0.5137009959894,0.846964393492,0.0022
"44","blast_a_010","tsl","auditory","structured","non-linguistic",0.667,0.417029482964,0.888682381499,8e-04
"45","blast_a_011","tsl","auditory","structured","non-linguistic",0.665,0.48875439731681,0.938666861556,-0.001
"46","blast_a_012","tsl","auditory","structured","non-linguistic",0.763,0.640383234418,0.940144072164,0.0026
"47","blast_a_013","tsl","auditory","structured","non-linguistic",0.554,0.00870519914315,0.847016812583,0.0023
"48","blast_a_017","tsl","auditory","structured","non-linguistic",0.659,0.5137536977777,0.930314400852,-5e-04
"49","blast_a_018","tsl","auditory","structured","non-linguistic",0.575,0.000436445454397,0.872187913789,-0.0019
"50","blast_a_020","tsl","auditory","structured","non-linguistic",0.616,0.4887474892789,0.905126747239,0.0013
"51","blast_a_021","tsl","auditory","structured","non-linguistic",0.519,0.000419616728323,0.930246268214,-0.0052
"52","blast_a_022","tsl","auditory","structured","non-linguistic",0.289,0.00535798072815,0.411031007767,-2e-04
"53","blast_a_023","tsl","auditory","structured","non-linguistic",0.596,0.0802757962629,0.930132330637,-0.0062
"54","blast_a_025","tsl","auditory","structured","non-linguistic",0.363,0.0203220921867,0.720210118674,-0.0361
"55","blast_a_001","ssl","auditory","structured","linguistic",0.769,0.613659691423,0.93840145576,-6e-04
"56","blast_a_002","ssl","auditory","structured","linguistic",0.544,0.383597555568,0.797018233058,0.002
"57","blast_a_004","ssl","auditory","structured","linguistic",0.737,0.622023374261,0.880404420294,-6e-04
"58","blast_a_005","ssl","auditory","structured","linguistic",0.642,0.5055996938722,0.830323291081,-1e-04
"59","blast_a_006","ssl","auditory","structured","linguistic",0.628,0.108894606017,0.905180019758,-0.0019
"60","blast_a_007","ssl","auditory","structured","linguistic",0.63,0.48869982583117,0.838683772068,-7e-04
"61","blast_a_008","ssl","auditory","structured","linguistic",0.592,0.350293525202,0.913662647614,0.0034
